Item Code,Item Name,Retail Price,Cost,Category
8885013131956,BINGO COOKIS CONE,22,20,Others
4801668500224,DATU PUTI SOY SOUCE,52,45,Others
753985327,AHOS GRAM,10,14,Others
4809012725033,FRESH Q ORANGE,10,9,Others
731126103169,NAGARAYA BARBIEQUE 160G,45,43,Others
4809011681194,BOY BAWANG HOT GARLIC 90G,23,19,SNACKS
4800067055861,BABYFLO GENTLE BUDS 200TIPS,33,30,Others
4800066122519,HOLIDAY CARNE NORTE 150G,34,32,Others
4806529230463,BANANA CHIPS SNR 600G,277,270,Others
4806506315015,ADULT DIAPER MEDIUM 10,205,200,Others
4800365100546,SUPER CRUNCH 35G,7,6,SNACKS
8000500005026,FERRERO ROCHER HEART,295,290,SNACKS
4806532840024,DENVER DRINKING WATER 1000ML,20,19,Others
8410162100357,FUNDADOR MINI,200,195,Others
691206624,GATORADE BOTTLE,18,17,Others
8935001721673,CHUPA CHUPS 10 S,43,42,Others
198764719,KAMI PAPER TOWEL,44,43,Others
4800029320105,TWIZZLE MILK CHOCOLATE  COATED,43,40,SNACKS
4800092333408,HAPPY GARLIC 25G,7,6,Others
4800011178745,SULFUR SOAP 80G,44,42,Others
4800136960010,LACTACED PRO SENSITIVE,84,82,Others
8996001600399,LE MINERALE 1L,25,23,Others
548303491,SELECTA SUPER BIG VANILLA 3.8L,450,445,Others
8712045021934,LACTUM 1-3 PLAIN 1.2 KG.,810,790,Others
4805358201019,STAR GARLIC 100G,35,34,Others
4805358324664,CHEEZEE SQUEEZE220G,73,70,Others
644729018,NESCAFE CREAMYLATTE 1/2 DZ,78,74,Others
196295681,FISH CRACKER SMALL,5,4,Others
718713218,PORK CHICHARON CEBU,45,45,Others
4806515986558,BENZELLIN,21,20,Others
4806534311515,HAPPY MARSHMALLOWS,26,25,Others
4800067600481,ALBATROSS,60,55,Others
4806512230777,PANCAKE PLUS 480G,75,70,Others
4800086046970,SELECTA CREAMDAE UBE 100ML,20,18,Others
4801668602225,DATU PUTI BUDGET PACK,6,5,Others
4800417005225,BENCH ATLANTIS,93,90,Others
4800047840203,ZONROX FRESH 1000ML,45,44,Others
4800220587451,TANDUAY LIGHT 250ML,50,45,Hard Liquor
4800092332500,DING DONG SWEET BBQ,10,9,Others
4005900753847,NIVEA BRIGHTENING DEEP SERUM 50ML,139,135,Others
953329594,BREAD STIX,10,9,Others
556213591,PRIDE PUTOL,7,6,Others
5099873001370,JACK DANIELS WITH JANNESSE HONEY,1200,1000,Others
4801668606551,UFC WHOLE CORN KERNELS,41,40,Others
4800088239127,WINNER CHICKEN SIOMAI,165,160,Others
859279119,NUTRI BOOST 1 BOX,120,105,Others
